id,parent,place_type,place_code,code_type,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,street_code,box_code,latitude,longitude,last_modified
101303,100622,district_municipality,DC36,municipal_code,Waterberg,,,,,,,,,,,,,-24.1849751,27.5676056,2024-03-27T05:03:21.204758+00:00
101304,101320,town,,,Waterpan,,,,,,,,,,,1779,,-26.3478949,27.6853297,2024-03-27T05:03:19.559309+00:00
101305,100269,town,,,Wattville,,,,,,,,,,,1501,1516,-26.2212283,28.2973810,2024-03-27T05:03:19.378571+00:00
101306,100744,town,,,Wedela,,,,,,,,,,,2499,2497,-26.4649446,27.3799796,2024-03-27T05:03:19.503497+00:00
101307,101245,town,,,Weenen,,,,,,,,,,,,3325,-28.8476065,30.0820036,2024-03-27T05:03:20.495265+00:00
101308,100945,suburb,,,Welgelegen,,,,,,,,,,,7500,,-33.8753717,18.5675568,2024-03-27T05:03:23.307722+00:00
101309,100722,town,,,Welkom,,,,,,,,,,,9459,9460,-27.9809608,26.7282828,2024-03-27T05:03:18.544164+00:00
101310,100238,town,,,Wellington,,,,,,,,,,,7655,7654,-33.6420660,19.0017711,2024-03-27T05:03:23.022742+00:00
101311,100744,town,,,Welverdiend,,,,,,,,,,,2499,2495,-26.3759688,27.2793876,2024-03-27T05:03:19.507156+00:00
101312,100845,town,,,Wepener,,,,,,,,,,,9944,9944,-29.7295915,27.0270318,2024-03-27T05:03:19.127926+00:00
101313,100843,town,,,Wesselsbron,,,,,,,,,,,9680,9680,-27.8366323,26.3666835,2024-03-27T05:03:18.566391+00:00
