place_type,place_code,code_type,eng,street_code,latitude,longitude
town,,,Strandfontein,7798,-31.7554567,18.2278033
town,,,Straussburg,,-28.4352455,21.3307323
town,,,Stretford,1841,-26.4941948,27.8453482
town,,,Struisbaai,7285,-34.8040089,20.0478456
town,,,Strydenburg,8765,-29.9431158,23.6669891
town,,,Stutterheim,4930,-32.5773857,27.4137433
local_municipality,EC106,municipal_code,Sunday's River Valley,,-33.5196348,25.5533798
town,,,Sundra,,-26.1973469,28.5389242
town,,,Sundumbili,4491,-29.1311162,31.3823952
town,,,Sunwich Port,,-30.6648418,30.5082311
town,,,Sutherland,6920,-32.3928781,20.661643
town,,,Suurbraak,,-34.0377062,20.6399255
